==== 赛博与废土 ====
104. 《我的异世界是游戏模式》 - https://www.qidian.com/book/1037856850/
105. 《猎妖高校》 - https://www.qidian.com/book/1004600098/
106. 《巫师：从生物改造开始肝经验》 - https://www.qidian.com/book/1041887405/
107. 《费伦之旅：宗主和我都不太对劲》 - https://www.qidian.com/book/1045983527/
108. 《钢铁蒸汽与火焰》 - https://www.qidian.com/book/1003686476/
109. 《死灵法师的地牢掌机》 - https://www.qidian.com/book/1044202023/
110. 《巫师秘旅》 - https://www.qidian.com/book/1041159926/
111. 《地下城魔物美食指南》 - https://www.qidian.com/book/1045180692/
112. 《冒险者营地日志》 - https://www.qidian.com/book/1045043769/
113. 《放开那个女巫》 - https://www.qidian.com/book/1003306811/
114. 《费伦：全职业精通，但我是普通人》 - https://www.qidian.com/book/1045009877/
115. 《人在战锤，是巫后，也是凤凰女王》 - https://www.qidian.com/book/1041727672/
116. 《霍格沃茨：谁让她当教授的》 - https://www.qidian.com/book/1041841209/
117. 《武僧的奇幻世界之旅》 - https://www.qidian.com/book/1040249620/

==== 武侠 ====
1. 《人在峨眉，开局获取金色词条》 - https://www.qidian.com/book/1045445836/
2. 《盖世双谐》 - https://www.qidian.com/book/1017371184/
3. 《剑出大唐》 - https://www.qidian.com/book/1043632678/
4. 《剑出星宿毒为锋》 - https://www.qidian.com/book/1045202047/
5. 《问剑华山》 - https://www.qidian.com/book/1044286766/
6. 《秦时：我在天宗误入歧途》 - https://www.qidian.com/book/1044666365/
7. 《射雕：从镖人开始》 - https://www.qidian.com/book/1045322129/
8. 《八小时工作制的朝廷鹰犬》 - https://www.qidian.com/book/1042428486/
9. 《苦境：今天世界毁灭了吗》 - https://www.qidian.com/book/1045763814/
10. 《诡秘武林：侠客挥犀录》 - https://www.qidian.com/book/1030887252/
11. 《速通武侠世界：我专治意难平！》 - https://www.qidian.com/book/1044737071/
12. 《大宋为王十三年，方知是天龙》 - https://www.qidian.com/book/1042506551/
13. 《在温瑞安书中，从执掌家门开始！》 - https://www.qidian.com/book/1045723418/
14. 《我王语嫣，在线改命》 - https://www.qidian.com/book/1044997095/
15. 《这个枪手有1点怂》 - https://www.qidian.com/book/1044220139/
16. 《这江湖不混也罢》 - https://www.qidian.com/book/1045855589/
